
Warning from Imperial College ICT:  This message contains a link to a website sometimes used by "phishers" to steal credentials.  

Caution is advised when clicking on these links. To avoid credential theft, you should not enter your Imperial College username and password into any form linked from this message.

The original messages continues below.
id_STR maxmu Ks AIC quasi.r2 SpeciesNb temperature Replicate Temperature.f Replicate.f id_ST id_SR
3:15:2 0.546657953704066 0.0707780252973765 10.1881386611923 0.0947061793076733 3 15 2 15 2 3:15 3:2
3:15:3 0.592099436466754 0.101086695260458 9.39748953768276 0.161005110199431 3 15 3 15 3 3:15 3:3
3:20:1 0.842757317455514 0.13640600384059 10.2258144628423 0.386853179717879 3 20 1 20 1 3:20 3:1
3:20:2 1.09212703075701 0.225121291517649 21.1376267057668 0.206135626491112 3 20 2 20 2 3:20 3:2
3:20:3 1.2267219826832 0.149562935343085 27.1807078870094 0.199472282922476 3 20 3 20 3 3:20 3:3
3:25:1 2.34908602006777 0.796689376392897 23.0218337173323 0.761412867191944 3 25 1 25 1 3:25 3:1
3:25:2 1.96098506952361 0.313976771213934 20.2084226923468 0.716589925173486 3 25 2 25 2 3:25 3:2
3:25:3 2.278217593458 0.587708213921542 28.4375993952371 0.659179508791741 3 25 3 25 3 3:25 3:3
3:30:1 2.4970852813225 1.09571164689934 31.5200010379413 0.634687680410424 3 30 1 30 1 3:30 3:1
3:30:2 2.08266671469313 0.340451716439949 20.0310652740389 0.749866372668374 3 30 2 30 2 3:30 3:2
3:30:3 2.01221233394798 0.731141454453583 31.7404652637582 0.519082894012467 3 30 3 30 3 3:30 3:3
3:35:1 2.55390993259173 0.302336640488744 31.4324644195326 0.640500996765897 3 35 1 35 1 3:35 3:1
3:35:2 2.1571739708991 0.437764227344273 38.3973682923615 0.382527813875157 3 35 2 35 2 3:35 3:2
3:35:3 2.3653952652462 0.30498257519657 31.0770634369036 0.597392594371368 3 35 3 35 3 3:35 3:3
4:15:1 0.471394014725453 0.0163578185198258 -17.5426560795689 0.60179139232139 4 15 1 15 1 4:15 4:1
4:15:2 0.605266704722496 0.0186922397460547 -10.7243585822273 0.644515247745911 4 15 2 15 2 4:15 4:2
4:15:3 0.533831443376119 0.0108606014833114 -8.48497985838505 0.376839365076618 4 15 3 15 3 4:15 4:3
4:20:1 1.03614692162879 0.361809617011409 10.3581735067437 0.476049335178072 4 20 1 20 1 4:20 4:1
4:20:2 0.968948326513192 0.33944418771863 6.25104702718431 0.580475273527999 4 20 2 20 2 4:20 4:2
4:20:3 1.12725236459592 0.572720427560814 5.43089682722765 0.739152193511244 4 20 3 20 3 4:20 4:3
4:25:1 1.14440221138322 0.227206978741108 10.4220658843093 0.524408278809006 4 25 1 25 1 4:25 4:1
4:25:2 1.28764089105557 0.163793096548533 17.4026287332086 0.437339155651284 4 25 2 25 2 4:25 4:2
4:25:3 1.10959288688896 0.0320540648510618 6.55716461346479 0.550355182152048 4 25 3 25 3 4:25 4:3
4:30:1 1.55383465362057 0.49876087334948 21.0380556204004 0.578842291061972 4 30 1 30 1 4:30 4:1
4:30:2 1.46309003496803 0.521888244662262 19.9492351708273 0.582752759540355 4 30 2 30 2 4:30 4:2
4:30:3 1.41897596289244 0.266487440390972 15.3635178772993 0.661993638924939 4 30 3 30 3 4:30 4:3
4:35:1 1.63637275760957 0.0834966712738156 31.697149822449 0.241151460354519 4 35 1 35 1 4:35 4:1
4:35:2 2.08308549792303 0.422684625439165 33.9341439328701 0.462732160184785 4 35 2 35 2 4:35 4:2
4:35:3 1.64405772889522 0.534881479539974 24.6358658124344 0.531156075303152 4 35 3 35 3 4:35 4:3
5:15:1 1.02978034401924 0.13497027151085 19.3706112151188 0.222655349163263 5 15 1 15 1 5:15 5:1
5:15:2 1.23652580789985 0.146472653271296 19.6233253309518 0.221630001675433 5 15 2 15 2 5:15 5:2
5:15:3 1.39633295821191 0.334035819840511 26.1427227646783 0.0950491740332342 5 15 3 15 3 5:15 5:3
5:20:1 1.30087967387595 0.490331932813842 17.5773075312894 0.567754266833256 5 20 1 20 1 5:20 5:1
5:20:2 1.47533717425522 0.851418380025086 16.3499579160226 0.641857382789194 5 20 2 20 2 5:20 5:2
5:20:3 1.32434716029238 0.668629999474278 13.0380611050654 0.711120084944724 5 20 3 20 3 5:20 5:3
5:25:1 1.31481042146058 0.333078367639417 17.6586434976445 0.449625793920216 5 25 1 25 1 5:25 5:1
5:25:2 1.12163625262291 0.0941466165298935 20.1528878556224 0.23252609672934 5 25 2 25 2 5:25 5:2
5:25:3 1.02547708472706 0.11417356222996 26.3797586063621 0.171628479078431 5 25 3 25 3 5:25 5:3
5:30:1 1.03202266366085 0.444671077599852 25.6201080501642 0.206269365718964 5 30 1 30 1 5:30 5:1
